source_file,packaged_file,folder,status,suggested_use
IMG-20260906-WA0022.jpg,homepage-commercial-pool.webp,Homepage,Ready,Homepage hero or project gallery
IMG-20260906-WA0009.jpg,homepage-residential-pool-heat-pump.webp,Homepage,Ready,Homepage or residential product section
IMG-20260906-WA0008.jpg,product-iris-pool-heat-pump.webp,Products,Ready,Product overview
IMG-20260906-WA0030.jpg,product-showroom-unit.webp,Products,Ready,Supporting product image
IMG-20260906-WA0004.jpg,project-multi-unit-heat-pump-system.webp,Projects,Ready,Commercial or industrial installation
IMG-20260906-WA0024.jpg,project-protected-outdoor-installation.webp,Projects,Ready,Outdoor installation gallery
IMG-20260906-WA0029.jpg,project-protected-equipment-bank.webp,Projects,Ready,Outdoor installation gallery
IMG-20260906-WA0025.jpg,project-louvered-enclosure-side-a.webp,Projects,Ready,Equipment enclosure gallery
IMG-20260906-WA0026.jpg,project-louvered-enclosure-side-b.webp,Projects,Ready,Equipment enclosure gallery
IMG-20260906-WA0027.jpg,project-louvered-enclosure-front.webp,Projects,Ready,Equipment enclosure gallery
IMG-20260906-WA0023.jpg,technical-control-panel-wiring.webp,Technical,Ready,Technical systems section
IMG-20260906-WA0005.jpg,pending-onsite-personnel.webp,Pending Approval,Permission needed,Project gallery after consent
IMG-20260906-WA0006.jpg,pending-equipment-delivery.webp,Pending Approval,Permission needed,Installation or delivery after consent
IMG-20260906-WA0011.jpg,pending-crane-installation.webp,Pending Approval,Permission needed,Installation section after consent
IMG-20260906-WA0031.jpg,pending-service-technicians.webp,Pending Approval,Permission needed,Service section after consent
IMG-20260906-WA0032.jpg,pending-controller-low-resolution.webp,Pending Approval,Replace if possible,Small technical thumbnail only
IMG-20260906-WA0007.jpg,Not packaged,Excluded,Duplicate of WA0004
IMG-20260906-WA0010.jpg,Not packaged,Excluded,Near-duplicate of WA0008
IMG-20260906-WA0012.jpg,Not packaged,Excluded,Very narrow composite image
